title,author,avg_rating,reviews,year,genre
the little prince paperback,antoine de saint-exupéry,4.32,1723369,1943,children-s
the cat in the hat the cat in the hat 1,dr. seuss,4.17,490606,1957,children-s
harry potter and the goblet of fire harry potter 4,j.k. rowling,4.57,3063129,2000,children-s
a wrinkle in time time quintet 1,madeleine l'engle,3.99,1120445,1962,children-s
the very hungry caterpillar board book,eric carle,4.30,453297,1969,children-s
goodnight moon hardcover,margaret wise brown,4.29,342315,1947,children-s
james and the giant peach hardcover,roald dahl,4.02,429228,1961,children-s
harry potter and the order of the phoenix harry potter 5,j.k. rowling,4.50,2931740,2003,children-s
harry potter and the deathly hallows harry potter 7,j.k. rowling,4.62,3245354,2007,children-s
harry potter and the halfblood prince harry potter 6,j.k. rowling,4.57,2839437,2005,children-s
oh the places youll go hardcover,dr. seuss,4.35,370392,1990,children-s
the bfg paperback,roald dahl,4.22,432619,1982,children-s
winniethepooh winniethepooh 1,a.a. milne,4.34,301728,1926,children-s
how the grinch stole christmas hardcover,dr. seuss,4.36,374817,1957,children-s
anne of green gables anne of green gables 1,l.m. montgomery,4.28,852953,1908,children-s
the velveteen rabbit paperback,margery williams bianco,4.28,243841,1922,children-s
the lorax hardcover,dr. seuss,4.33,317163,1971,children-s
the wonderful wizard of oz oz 1,l. frank baum,3.99,413749,1900,children-s
the bad beginning a series of unfortunate events 1,lemony snicket,3.98,462303,1999,children-s
the witches paperback,roald dahl,4.17,360343,1983,children-s
the magicians nephew chronicles of narnia 6,c.s. lewis,4.04,475090,1955,children-s
bridge to terabithia kindle edition,katherine paterson,4.02,498404,1977,children-s
peter pan hardcover,j.m. barrie,4.04,314332,1911,children-s
the phantom tollbooth paperback,norton juster,4.18,268790,1961,children-s
little house in the big woods little house 1,laura ingalls wilder,4.19,250895,1932,children-s
alices adventures in wonderland  through the lookingglass paperback,lewis carroll,4.06,510085,1871,children-s
the tale of peter rabbit hardcover,beatrix potter,4.20,229373,1901,children-s
holes holes 1,louis sachar,3.98,1085844,1998,children-s
if you give a mouse a cookie if you give,laura joffe numeroff,4.27,275722,1985,children-s
a light in the attic hardcover,shel silverstein,4.34,412261,1981,children-s
little house on the prairie little house 3,laura ingalls wilder,4.20,275297,1935,children-s
love you forever paperback,robert munsch,4.36,221992,1986,children-s
a little princess paperback,frances hodgson burnett,4.21,289208,1905,children-s
corduroy hardcover,don freeman,4.31,209489,1968,children-s
one fish two fish red fish blue fish hardcover,dr. seuss,4.15,186325,1960,children-s
the giver the giver 1,lois lowry,4.13,2106092,1993,children-s
madeline paperback,ludwig bemelmans,4.24,204429,1939,children-s
coraline paperback,neil gaiman,4.08,574489,2002,children-s
charlottes web paperback,e.b. white,4.19,1624488,1952,children-s
where the wild things are paperback,maurice sendak,4.23,917401,1963,children-s
the giving tree hardcover,shel silverstein,4.37,1016627,1964,children-s
harry potter and the sorcerers stone harry potter 1,j.k. rowling,4.48,8505598,1997,children-s
green eggs and ham hardcover,dr. seuss,4.30,700529,1960,children-s
where the sidewalk ends hardcover,shel silverstein,4.32,1282838,1974,children-s
the lion the witch and the wardrobe chronicles of narnia 1,c.s. lewis,4.23,2449786,1950,children-s
matilda paperback,roald dahl,4.33,794832,1988,children-s
charlie and the chocolate factory charlie bucket 1,roald dahl,4.15,760641,1964,children-s
harry potter and the chamber of secrets harry potter 2,j.k. rowling,4.43,3283973,1998,children-s
the secret garden hardcover,frances hodgson burnett,4.14,1028911,1910,children-s
harry potter and the prisoner of azkaban harry potter 3,j.k. rowling,4.58,3447263,1999,children-s
the little prince paperback,antoine de saint-exupéry,4.32,1723369,1943,children-s
the cat in the hat the cat in the hat 1,dr. seuss,4.17,490606,1957,children-s
harry potter and the goblet of fire harry potter 4,j.k. rowling,4.57,3063129,2000,children-s
a wrinkle in time time quintet 1,madeleine l'engle,3.99,1120445,1962,children-s
the very hungry caterpillar board book,eric carle,4.30,453297,1969,children-s
goodnight moon hardcover,margaret wise brown,4.29,342315,1947,children-s
james and the giant peach hardcover,roald dahl,4.02,429228,1961,children-s
harry potter and the order of the phoenix harry potter 5,j.k. rowling,4.50,2931740,2003,children-s
harry potter and the deathly hallows harry potter 7,j.k. rowling,4.62,3245354,2007,children-s
harry potter and the halfblood prince harry potter 6,j.k. rowling,4.57,2839437,2005,children-s
oh the places youll go hardcover,dr. seuss,4.35,370392,1990,children-s
the bfg paperback,roald dahl,4.22,432619,1982,children-s
winniethepooh winniethepooh 1,a.a. milne,4.34,301728,1926,children-s
how the grinch stole christmas hardcover,dr. seuss,4.36,374817,1957,children-s
anne of green gables anne of green gables 1,l.m. montgomery,4.28,852953,1908,children-s
the velveteen rabbit paperback,margery williams bianco,4.28,243841,1922,children-s
the lorax hardcover,dr. seuss,4.33,317163,1971,children-s
the wonderful wizard of oz oz 1,l. frank baum,3.99,413749,1900,children-s
the bad beginning a series of unfortunate events 1,lemony snicket,3.98,462303,1999,children-s
the witches paperback,roald dahl,4.17,360343,1983,children-s
the magicians nephew chronicles of narnia 6,c.s. lewis,4.04,475090,1955,children-s
bridge to terabithia kindle edition,katherine paterson,4.02,498404,1977,children-s
peter pan hardcover,j.m. barrie,4.04,314332,1911,children-s
the phantom tollbooth paperback,norton juster,4.18,268790,1961,children-s
little house in the big woods little house 1,laura ingalls wilder,4.19,250895,1932,children-s
alices adventures in wonderland  through the lookingglass paperback,lewis carroll,4.06,510085,1871,children-s
the tale of peter rabbit hardcover,beatrix potter,4.20,229373,1901,children-s
holes holes 1,louis sachar,3.98,1085844,1998,children-s
if you give a mouse a cookie if you give,laura joffe numeroff,4.27,275722,1985,children-s
a light in the attic hardcover,shel silverstein,4.34,412261,1981,children-s
little house on the prairie little house 3,laura ingalls wilder,4.20,275297,1935,children-s
love you forever paperback,robert munsch,4.36,221992,1986,children-s
a little princess paperback,frances hodgson burnett,4.21,289208,1905,children-s
corduroy hardcover,don freeman,4.31,209489,1968,children-s
one fish two fish red fish blue fish hardcover,dr. seuss,4.15,186325,1960,children-s
the giver the giver 1,lois lowry,4.13,2106092,1993,children-s
madeline paperback,ludwig bemelmans,4.24,204429,1939,children-s
coraline paperback,neil gaiman,4.08,574489,2002,children-s
charlottes web paperback,e.b. white,4.19,1624488,1952,children-s
where the wild things are paperback,maurice sendak,4.23,917401,1963,children-s
the giving tree hardcover,shel silverstein,4.37,1016627,1964,children-s
harry potter and the sorcerers stone harry potter 1,j.k. rowling,4.48,8505598,1997,children-s
green eggs and ham hardcover,dr. seuss,4.30,700529,1960,children-s
where the sidewalk ends hardcover,shel silverstein,4.32,1282838,1974,children-s
the lion the witch and the wardrobe chronicles of narnia 1,c.s. lewis,4.23,2449786,1950,children-s
matilda paperback,roald dahl,4.33,794832,1988,children-s
charlie and the chocolate factory charlie bucket 1,roald dahl,4.15,760641,1964,children-s
harry potter and the chamber of secrets harry potter 2,j.k. rowling,4.43,3283973,1998,children-s
the secret garden hardcover,frances hodgson burnett,4.14,1028911,1910,children-s
harry potter and the prisoner of azkaban harry potter 3,j.k. rowling,4.58,3447263,1999,children-s
the little prince paperback,antoine de saint-exupéry,4.32,1723369,1943,children-s
the cat in the hat the cat in the hat 1,dr. seuss,4.17,490606,1957,children-s
harry potter and the goblet of fire harry potter 4,j.k. rowling,4.57,3063129,2000,children-s
a wrinkle in time time quintet 1,madeleine l'engle,3.99,1120445,1962,children-s
the very hungry caterpillar board book,eric carle,4.30,453297,1969,children-s
goodnight moon hardcover,margaret wise brown,4.29,342315,1947,children-s
james and the giant peach hardcover,roald dahl,4.02,429228,1961,children-s
harry potter and the order of the phoenix harry potter 5,j.k. rowling,4.50,2931740,2003,children-s
harry potter and the deathly hallows harry potter 7,j.k. rowling,4.62,3245354,2007,children-s
harry potter and the halfblood prince harry potter 6,j.k. rowling,4.57,2839437,2005,children-s
oh the places youll go hardcover,dr. seuss,4.35,370392,1990,children-s
the bfg paperback,roald dahl,4.22,432619,1982,children-s
winniethepooh winniethepooh 1,a.a. milne,4.34,301728,1926,children-s
how the grinch stole christmas hardcover,dr. seuss,4.36,374817,1957,children-s
anne of green gables anne of green gables 1,l.m. montgomery,4.28,852953,1908,children-s
the velveteen rabbit paperback,margery williams bianco,4.28,243841,1922,children-s
the lorax hardcover,dr. seuss,4.33,317163,1971,children-s
the wonderful wizard of oz oz 1,l. frank baum,3.99,413749,1900,children-s
the bad beginning a series of unfortunate events 1,lemony snicket,3.98,462303,1999,children-s
the witches paperback,roald dahl,4.17,360343,1983,children-s
the magicians nephew chronicles of narnia 6,c.s. lewis,4.04,475090,1955,children-s
bridge to terabithia kindle edition,katherine paterson,4.02,498404,1977,children-s
peter pan hardcover,j.m. barrie,4.04,314332,1911,children-s
the phantom tollbooth paperback,norton juster,4.18,268790,1961,children-s
little house in the big woods little house 1,laura ingalls wilder,4.19,250895,1932,children-s
alices adventures in wonderland  through the lookingglass paperback,lewis carroll,4.06,510085,1871,children-s
the tale of peter rabbit hardcover,beatrix potter,4.20,229373,1901,children-s
holes holes 1,louis sachar,3.98,1085844,1998,children-s
if you give a mouse a cookie if you give,laura joffe numeroff,4.27,275722,1985,children-s
a light in the attic hardcover,shel silverstein,4.34,412261,1981,children-s
little house on the prairie little house 3,laura ingalls wilder,4.20,275297,1935,children-s
love you forever paperback,robert munsch,4.36,221992,1986,children-s
a little princess paperback,frances hodgson burnett,4.21,289208,1905,children-s
corduroy hardcover,don freeman,4.31,209489,1968,children-s
one fish two fish red fish blue fish hardcover,dr. seuss,4.15,186325,1960,children-s
the giver the giver 1,lois lowry,4.13,2106092,1993,children-s
madeline paperback,ludwig bemelmans,4.24,204429,1939,children-s
coraline paperback,neil gaiman,4.08,574489,2002,children-s
charlottes web paperback,e.b. white,4.19,1624488,1952,children-s
where the wild things are paperback,maurice sendak,4.23,917401,1963,children-s
the giving tree hardcover,shel silverstein,4.37,1016627,1964,children-s
harry potter and the sorcerers stone harry potter 1,j.k. rowling,4.48,8505598,1997,children-s
green eggs and ham hardcover,dr. seuss,4.30,700529,1960,children-s
where the sidewalk ends hardcover,shel silverstein,4.32,1282838,1974,children-s
the lion the witch and the wardrobe chronicles of narnia 1,c.s. lewis,4.23,2449786,1950,children-s
matilda paperback,roald dahl,4.33,794832,1988,children-s
charlie and the chocolate factory charlie bucket 1,roald dahl,4.15,760641,1964,children-s
harry potter and the chamber of secrets harry potter 2,j.k. rowling,4.43,3283973,1998,children-s
the secret garden hardcover,frances hodgson burnett,4.14,1028911,1910,children-s
harry potter and the prisoner of azkaban harry potter 3,j.k. rowling,4.58,3447263,1999,children-s
the little prince paperback,antoine de saint-exupéry,4.32,1723369,1943,children-s
the cat in the hat the cat in the hat 1,dr. seuss,4.17,490606,1957,children-s
harry potter and the goblet of fire harry potter 4,j.k. rowling,4.57,3063129,2000,children-s
a wrinkle in time time quintet 1,madeleine l'engle,3.99,1120445,1962,children-s
the very hungry caterpillar board book,eric carle,4.30,453297,1969,children-s
goodnight moon hardcover,margaret wise brown,4.29,342315,1947,children-s
james and the giant peach hardcover,roald dahl,4.02,429228,1961,children-s
harry potter and the order of the phoenix harry potter 5,j.k. rowling,4.50,2931740,2003,children-s
harry potter and the deathly hallows harry potter 7,j.k. rowling,4.62,3245354,2007,children-s
harry potter and the halfblood prince harry potter 6,j.k. rowling,4.57,2839437,2005,children-s
oh the places youll go hardcover,dr. seuss,4.35,370392,1990,children-s
the bfg paperback,roald dahl,4.22,432619,1982,children-s
winniethepooh winniethepooh 1,a.a. milne,4.34,301728,1926,children-s
how the grinch stole christmas hardcover,dr. seuss,4.36,374817,1957,children-s
anne of green gables anne of green gables 1,l.m. montgomery,4.28,852953,1908,children-s
the velveteen rabbit paperback,margery williams bianco,4.28,243841,1922,children-s
the lorax hardcover,dr. seuss,4.33,317163,1971,children-s
the wonderful wizard of oz oz 1,l. frank baum,3.99,413749,1900,children-s
the bad beginning a series of unfortunate events 1,lemony snicket,3.98,462303,1999,children-s
the witches paperback,roald dahl,4.17,360343,1983,children-s
the magicians nephew chronicles of narnia 6,c.s. lewis,4.04,475090,1955,children-s
bridge to terabithia kindle edition,katherine paterson,4.02,498404,1977,children-s
peter pan hardcover,j.m. barrie,4.04,314332,1911,children-s
the phantom tollbooth paperback,norton juster,4.18,268790,1961,children-s
little house in the big woods little house 1,laura ingalls wilder,4.19,250895,1932,children-s
alices adventures in wonderland  through the lookingglass paperback,lewis carroll,4.06,510085,1871,children-s
the tale of peter rabbit hardcover,beatrix potter,4.20,229373,1901,children-s
holes holes 1,louis sachar,3.98,1085850,1998,children-s
if you give a mouse a cookie if you give,laura joffe numeroff,4.27,275722,1985,children-s
a light in the attic hardcover,shel silverstein,4.34,412261,1981,children-s
little house on the prairie little house 3,laura ingalls wilder,4.20,275297,1935,children-s
love you forever paperback,robert munsch,4.36,221992,1986,children-s
a little princess paperback,frances hodgson burnett,4.21,289208,1905,children-s
corduroy hardcover,don freeman,4.31,209489,1968,children-s
one fish two fish red fish blue fish hardcover,dr. seuss,4.15,186325,1960,children-s
the giver the giver 1,lois lowry,4.13,2106092,1993,children-s
madeline paperback,ludwig bemelmans,4.24,204429,1939,children-s
coraline paperback,neil gaiman,4.08,574489,2002,children-s
charlottes web paperback,e.b. white,4.19,1624488,1952,children-s
where the wild things are paperback,maurice sendak,4.23,917401,1963,children-s
the giving tree hardcover,shel silverstein,4.37,1016627,1964,children-s
harry potter and the sorcerers stone harry potter 1,j.k. rowling,4.48,8505598,1997,children-s
green eggs and ham hardcover,dr. seuss,4.30,700529,1960,children-s
where the sidewalk ends hardcover,shel silverstein,4.32,1282838,1974,children-s
the lion the witch and the wardrobe chronicles of narnia 1,c.s. lewis,4.23,2449786,1950,children-s
matilda paperback,roald dahl,4.33,794832,1988,children-s
charlie and the chocolate factory charlie bucket 1,roald dahl,4.15,760641,1964,children-s
harry potter and the chamber of secrets harry potter 2,j.k. rowling,4.43,3283973,1998,children-s
the secret garden hardcover,frances hodgson burnett,4.14,1028911,1910,children-s
harry potter and the prisoner of azkaban harry potter 3,j.k. rowling,4.58,3447263,1999,children-s
the little prince paperback,antoine de saint-exupéry,4.32,1723369,1943,children-s
the cat in the hat the cat in the hat 1,dr. seuss,4.17,490606,1957,children-s
harry potter and the goblet of fire harry potter 4,j.k. rowling,4.57,3063129,2000,children-s
a wrinkle in time time quintet 1,madeleine l'engle,3.99,1120445,1962,children-s
the very hungry caterpillar board book,eric carle,4.30,453297,1969,children-s
goodnight moon hardcover,margaret wise brown,4.29,342315,1947,children-s
james and the giant peach hardcover,roald dahl,4.02,429228,1961,children-s
harry potter and the order of the phoenix harry potter 5,j.k. rowling,4.50,2931740,2003,children-s
harry potter and the deathly hallows harry potter 7,j.k. rowling,4.62,3245354,2007,children-s
harry potter and the halfblood prince harry potter 6,j.k. rowling,4.57,2839437,2005,children-s
oh the places youll go hardcover,dr. seuss,4.35,370392,1990,children-s
the bfg paperback,roald dahl,4.22,432619,1982,children-s
winniethepooh winniethepooh 1,a.a. milne,4.34,301728,1926,children-s
how the grinch stole christmas hardcover,dr. seuss,4.36,374817,1957,children-s
anne of green gables anne of green gables 1,l.m. montgomery,4.28,852953,1908,children-s
the velveteen rabbit paperback,margery williams bianco,4.28,243841,1922,children-s
the lorax hardcover,dr. seuss,4.33,317163,1971,children-s
the wonderful wizard of oz oz 1,l. frank baum,3.99,413749,1900,children-s
the bad beginning a series of unfortunate events 1,lemony snicket,3.98,462303,1999,children-s
the witches paperback,roald dahl,4.17,360343,1983,children-s
the magicians nephew chronicles of narnia 6,c.s. lewis,4.04,475090,1955,children-s
bridge to terabithia kindle edition,katherine paterson,4.02,498404,1977,children-s
peter pan hardcover,j.m. barrie,4.04,314332,1911,children-s
the phantom tollbooth paperback,norton juster,4.18,268790,1961,children-s
little house in the big woods little house 1,laura ingalls wilder,4.19,250895,1932,children-s
alices adventures in wonderland  through the lookingglass paperback,lewis carroll,4.06,510085,1871,children-s
the tale of peter rabbit hardcover,beatrix potter,4.20,229373,1901,children-s
holes holes 1,louis sachar,3.98,1085850,1998,children-s
if you give a mouse a cookie if you give,laura joffe numeroff,4.27,275722,1985,children-s
a light in the attic hardcover,shel silverstein,4.34,412261,1981,children-s
little house on the prairie little house 3,laura ingalls wilder,4.20,275297,1935,children-s
love you forever paperback,robert munsch,4.36,221992,1986,children-s
a little princess paperback,frances hodgson burnett,4.21,289208,1905,children-s
corduroy hardcover,don freeman,4.31,209489,1968,children-s
one fish two fish red fish blue fish hardcover,dr. seuss,4.15,186325,1960,children-s
the giver the giver 1,lois lowry,4.13,2106092,1993,children-s
madeline paperback,ludwig bemelmans,4.24,204429,1939,children-s
coraline paperback,neil gaiman,4.08,574489,2002,children-s
charlottes web paperback,e.b. white,4.19,1624488,1952,children-s
where the wild things are paperback,maurice sendak,4.23,917401,1963,children-s
the giving tree hardcover,shel silverstein,4.37,1016627,1964,children-s
harry potter and the sorcerers stone harry potter 1,j.k. rowling,4.48,8505598,1997,children-s
green eggs and ham hardcover,dr. seuss,4.30,700529,1960,children-s
where the sidewalk ends hardcover,shel silverstein,4.32,1282838,1974,children-s
the lion the witch and the wardrobe chronicles of narnia 1,c.s. lewis,4.23,2449786,1950,children-s
matilda paperback,roald dahl,4.33,794832,1988,children-s
charlie and the chocolate factory charlie bucket 1,roald dahl,4.15,760641,1964,children-s
harry potter and the chamber of secrets harry potter 2,j.k. rowling,4.43,3283973,1998,children-s
the secret garden hardcover,frances hodgson burnett,4.14,1028911,1910,children-s
harry potter and the prisoner of azkaban harry potter 3,j.k. rowling,4.58,3447263,1999,children-s
the little prince paperback,antoine de saint-exupéry,4.32,1723369,1943,children-s
the cat in the hat the cat in the hat 1,dr. seuss,4.17,490606,1957,children-s
harry potter and the goblet of fire harry potter 4,j.k. rowling,4.57,3063129,2000,children-s
a wrinkle in time time quintet 1,madeleine l'engle,3.99,1120445,1962,children-s
the very hungry caterpillar board book,eric carle,4.30,453297,1969,children-s
goodnight moon hardcover,margaret wise brown,4.29,342315,1947,children-s
james and the giant peach hardcover,roald dahl,4.02,429228,1961,children-s
harry potter and the order of the phoenix harry potter 5,j.k. rowling,4.50,2931740,2003,children-s
harry potter and the deathly hallows harry potter 7,j.k. rowling,4.62,3245354,2007,children-s
harry potter and the halfblood prince harry potter 6,j.k. rowling,4.57,2839437,2005,children-s
oh the places youll go hardcover,dr. seuss,4.35,370392,1990,children-s
the bfg paperback,roald dahl,4.22,432619,1982,children-s
winniethepooh winniethepooh 1,a.a. milne,4.34,301728,1926,children-s
how the grinch stole christmas hardcover,dr. seuss,4.36,374817,1957,children-s
anne of green gables anne of green gables 1,l.m. montgomery,4.28,852953,1908,children-s
the velveteen rabbit paperback,margery williams bianco,4.28,243841,1922,children-s
the lorax hardcover,dr. seuss,4.33,317163,1971,children-s
the wonderful wizard of oz oz 1,l. frank baum,3.99,413749,1900,children-s
the bad beginning a series of unfortunate events 1,lemony snicket,3.98,462303,1999,children-s
the witches paperback,roald dahl,4.17,360343,1983,children-s
the magicians nephew chronicles of narnia 6,c.s. lewis,4.04,475090,1955,children-s
bridge to terabithia kindle edition,katherine paterson,4.02,498404,1977,children-s
peter pan hardcover,j.m. barrie,4.04,314332,1911,children-s
the phantom tollbooth paperback,norton juster,4.18,268790,1961,children-s
little house in the big woods little house 1,laura ingalls wilder,4.19,250895,1932,children-s
alices adventures in wonderland  through the lookingglass paperback,lewis carroll,4.06,510085,1871,children-s
the tale of peter rabbit hardcover,beatrix potter,4.20,229373,1901,children-s
holes holes 1,louis sachar,3.98,1085850,1998,children-s
if you give a mouse a cookie if you give,laura joffe numeroff,4.27,275722,1985,children-s
a light in the attic hardcover,shel silverstein,4.34,412261,1981,children-s
little house on the prairie little house 3,laura ingalls wilder,4.20,275297,1935,children-s
love you forever paperback,robert munsch,4.36,221992,1986,children-s
a little princess paperback,frances hodgson burnett,4.21,289208,1905,children-s
corduroy hardcover,don freeman,4.31,209489,1968,children-s
one fish two fish red fish blue fish hardcover,dr. seuss,4.15,186325,1960,children-s
the giver the giver 1,lois lowry,4.13,2106092,1993,children-s
madeline paperback,ludwig bemelmans,4.24,204429,1939,children-s
coraline paperback,neil gaiman,4.08,574489,2002,children-s
charlottes web paperback,e.b. white,4.19,1624488,1952,children-s
where the wild things are paperback,maurice sendak,4.23,917401,1963,children-s
the giving tree hardcover,shel silverstein,4.37,1016627,1964,children-s
harry potter and the sorcerers stone harry potter 1,j.k. rowling,4.48,8505598,1997,children-s
green eggs and ham hardcover,dr. seuss,4.30,700529,1960,children-s
where the sidewalk ends hardcover,shel silverstein,4.32,1282838,1974,children-s
the lion the witch and the wardrobe chronicles of narnia 1,c.s. lewis,4.23,2449786,1950,children-s
matilda paperback,roald dahl,4.33,794832,1988,children-s
charlie and the chocolate factory charlie bucket 1,roald dahl,4.15,760641,1964,children-s
harry potter and the chamber of secrets harry potter 2,j.k. rowling,4.43,3283973,1998,children-s
the secret garden hardcover,frances hodgson burnett,4.14,1028911,1910,children-s
harry potter and the prisoner of azkaban harry potter 3,j.k. rowling,4.58,3447263,1999,children-s
the little prince paperback,antoine de saint-exupéry,4.32,1723369,1943,children-s
the cat in the hat the cat in the hat 1,dr. seuss,4.17,490606,1957,children-s
harry potter and the goblet of fire harry potter 4,j.k. rowling,4.57,3063129,2000,children-s
a wrinkle in time time quintet 1,madeleine l'engle,3.99,1120445,1962,children-s
the very hungry caterpillar board book,eric carle,4.30,453297,1969,children-s
goodnight moon hardcover,margaret wise brown,4.29,342315,1947,children-s
james and the giant peach hardcover,roald dahl,4.02,429228,1961,children-s
harry potter and the order of the phoenix harry potter 5,j.k. rowling,4.50,2931740,2003,children-s
harry potter and the deathly hallows harry potter 7,j.k. rowling,4.62,3245354,2007,children-s
harry potter and the halfblood prince harry potter 6,j.k. rowling,4.57,2839437,2005,children-s
oh the places youll go hardcover,dr. seuss,4.35,370392,1990,children-s
the bfg paperback,roald dahl,4.22,432619,1982,children-s
winniethepooh winniethepooh 1,a.a. milne,4.34,301728,1926,children-s
how the grinch stole christmas hardcover,dr. seuss,4.36,374817,1957,children-s
anne of green gables anne of green gables 1,l.m. montgomery,4.28,852953,1908,children-s
the velveteen rabbit paperback,margery williams bianco,4.28,243841,1922,children-s
the lorax hardcover,dr. seuss,4.33,317163,1971,children-s
the wonderful wizard of oz oz 1,l. frank baum,3.99,413749,1900,children-s
the bad beginning a series of unfortunate events 1,lemony snicket,3.98,462303,1999,children-s
the witches paperback,roald dahl,4.17,360343,1983,children-s
the magicians nephew chronicles of narnia 6,c.s. lewis,4.04,475090,1955,children-s
bridge to terabithia kindle edition,katherine paterson,4.02,498404,1977,children-s
peter pan hardcover,j.m. barrie,4.04,314332,1911,children-s
the phantom tollbooth paperback,norton juster,4.18,268790,1961,children-s
little house in the big woods little house 1,laura ingalls wilder,4.19,250895,1932,children-s
alices adventures in wonderland  through the lookingglass paperback,lewis carroll,4.06,510085,1871,children-s
the tale of peter rabbit hardcover,beatrix potter,4.20,229373,1901,children-s
holes holes 1,louis sachar,3.98,1085850,1998,children-s
if you give a mouse a cookie if you give,laura joffe numeroff,4.27,275722,1985,children-s
a light in the attic hardcover,shel silverstein,4.34,412261,1981,children-s
little house on the prairie little house 3,laura ingalls wilder,4.20,275297,1935,children-s
love you forever paperback,robert munsch,4.36,221992,1986,children-s
a little princess paperback,frances hodgson burnett,4.21,289208,1905,children-s
corduroy hardcover,don freeman,4.31,209489,1968,children-s
one fish two fish red fish blue fish hardcover,dr. seuss,4.15,186325,1960,children-s
the giver the giver 1,lois lowry,4.13,2106092,1993,children-s
madeline paperback,ludwig bemelmans,4.24,204429,1939,children-s
coraline paperback,neil gaiman,4.08,574489,2002,children-s
charlottes web paperback,e.b. white,4.19,1624488,1952,children-s
where the wild things are paperback,maurice sendak,4.23,917401,1963,children-s
the giving tree hardcover,shel silverstein,4.37,1016627,1964,children-s
harry potter and the sorcerers stone harry potter 1,j.k. rowling,4.48,8505598,1997,children-s
green eggs and ham hardcover,dr. seuss,4.30,700529,1960,children-s
where the sidewalk ends hardcover,shel silverstein,4.32,1282838,1974,children-s
the lion the witch and the wardrobe chronicles of narnia 1,c.s. lewis,4.23,2449786,1950,children-s
matilda paperback,roald dahl,4.33,794832,1988,children-s
charlie and the chocolate factory charlie bucket 1,roald dahl,4.15,760641,1964,children-s
harry potter and the chamber of secrets harry potter 2,j.k. rowling,4.43,3283973,1998,children-s
the secret garden hardcover,frances hodgson burnett,4.14,1028911,1910,children-s
harry potter and the prisoner of azkaban harry potter 3,j.k. rowling,4.58,3447263,1999,children-s
the little prince paperback,antoine de saint-exupéry,4.32,1723369,1943,children-s
the cat in the hat the cat in the hat 1,dr. seuss,4.17,490606,1957,children-s
harry potter and the goblet of fire harry potter 4,j.k. rowling,4.57,3063129,2000,children-s
a wrinkle in time time quintet 1,madeleine l'engle,3.99,1120445,1962,children-s
the very hungry caterpillar board book,eric carle,4.30,453297,1969,children-s
goodnight moon hardcover,margaret wise brown,4.29,342315,1947,children-s
james and the giant peach hardcover,roald dahl,4.02,429228,1961,children-s
harry potter and the order of the phoenix harry potter 5,j.k. rowling,4.50,2931740,2003,children-s
harry potter and the deathly hallows harry potter 7,j.k. rowling,4.62,3245354,2007,children-s
harry potter and the halfblood prince harry potter 6,j.k. rowling,4.57,2839437,2005,children-s
oh the places youll go hardcover,dr. seuss,4.35,370392,1990,children-s
the bfg paperback,roald dahl,4.22,432619,1982,children-s
winniethepooh winniethepooh 1,a.a. milne,4.34,301728,1926,children-s
how the grinch stole christmas hardcover,dr. seuss,4.36,374817,1957,children-s
anne of green gables anne of green gables 1,l.m. montgomery,4.28,852953,1908,children-s
the velveteen rabbit paperback,margery williams bianco,4.28,243841,1922,children-s
the lorax hardcover,dr. seuss,4.33,317163,1971,children-s
the wonderful wizard of oz oz 1,l. frank baum,3.99,413749,1900,children-s
the bad beginning a series of unfortunate events 1,lemony snicket,3.98,462303,1999,children-s
the witches paperback,roald dahl,4.17,360343,1983,children-s
the magicians nephew chronicles of narnia 6,c.s. lewis,4.04,475090,1955,children-s
bridge to terabithia kindle edition,katherine paterson,4.02,498404,1977,children-s
peter pan hardcover,j.m. barrie,4.04,314332,1911,children-s
the phantom tollbooth paperback,norton juster,4.18,268790,1961,children-s
little house in the big woods little house 1,laura ingalls wilder,4.19,250895,1932,children-s
alices adventures in wonderland  through the lookingglass paperback,lewis carroll,4.06,510085,1871,children-s
the tale of peter rabbit hardcover,beatrix potter,4.20,229373,1901,children-s
holes holes 1,louis sachar,3.98,1085850,1998,children-s
if you give a mouse a cookie if you give,laura joffe numeroff,4.27,275722,1985,children-s
a light in the attic hardcover,shel silverstein,4.34,412261,1981,children-s
little house on the prairie little house 3,laura ingalls wilder,4.20,275297,1935,children-s
love you forever paperback,robert munsch,4.36,221992,1986,children-s
a little princess paperback,frances hodgson burnett,4.21,289208,1905,children-s
corduroy hardcover,don freeman,4.31,209489,1968,children-s
one fish two fish red fish blue fish hardcover,dr. seuss,4.15,186325,1960,children-s
the giver the giver 1,lois lowry,4.13,2106092,1993,children-s
madeline paperback,ludwig bemelmans,4.24,204429,1939,children-s
coraline paperback,neil gaiman,4.08,574489,2002,children-s
charlottes web paperback,e.b. white,4.19,1624488,1952,children-s
where the wild things are paperback,maurice sendak,4.23,917401,1963,children-s
the giving tree hardcover,shel silverstein,4.37,1016627,1964,children-s
harry potter and the sorcerers stone harry potter 1,j.k. rowling,4.48,8505598,1997,children-s
green eggs and ham hardcover,dr. seuss,4.30,700529,1960,children-s
where the sidewalk ends hardcover,shel silverstein,4.32,1282838,1974,children-s
the lion the witch and the wardrobe chronicles of narnia 1,c.s. lewis,4.23,2449786,1950,children-s
matilda paperback,roald dahl,4.33,794832,1988,children-s
charlie and the chocolate factory charlie bucket 1,roald dahl,4.15,760641,1964,children-s
